,Outlier Date,Outlier Price,Outlier Type,Actual Market Trend,Predicted Market Trend,Position Type,Entry Date,Entry Price,Exit Date,Exit Price,Trading Days,Profit,model_RMSE,model_accuracy
0,2022-03-09,0.90302,Negative,Momentum Continuation,Momentum Continuation,Short,2022-03-10,0.9039632,2022-03-16,0.90064466,4,0.3671109811126029,0.0075003182571171025,99.31
1,2022-07-05,0.97493,Positive,Mean Reversion,Momentum Continuation,Long,2022-07-06,0.987365,2022-07-27,349190.28,15,35365774.42311115,92497.81432086352,-3322559.27
2,2022-07-11,0.99537,Positive,Mean Reversion,Momentum Continuation,Long,2022-07-12,0.9969195,2022-08-02,1.5391018,15,54.385767294485184,0.2182192020262231,84.35
3,2022-09-13,1.00213,Positive,Momentum Continuation,Momentum Continuation,Long,2022-09-26,0.098582275,2022-10-05,9273.049,7,9406305.723203186,2426.3463879028955,-81379.87
4,2022-09-21,1.01711,Positive,Mean Reversion,Momentum Continuation,Long,2022-09-22,1.0102149,2022-10-13,1.0146683,15,0.4408389274060137,0.015435886392291195,98.72
5,2022-09-23,1.0319,Positive,Mean Reversion,Momentum Continuation,Long,2022-09-26,1.0407403,2022-10-14,36.050884,14,3363.96552628631,10.836097278941304,-406.87
6,2022-10-04,1.0015,Negative,Momentum Continuation,Mean Reversion,Long,2022-10-10,1.0006301,2022-10-20,1.0543711,8,5.370713521042796,0.025059477779362776,97.69
7,2022-11-04,1.0015,Negative,Momentum Continuation,Mean Reversion,Long,2022-11-07,1.0070769,2022-11-14,1.0139819,5,0.6856556004617913,0.042236593750519184,95.91
8,2022-11-10,0.98115,Negative,Momentum Continuation,Mean Reversion,Long,2022-11-15,0.97637993,2022-12-02,0.9836396,13,0.743528895813469,0.018840097147443294,98.23
9,2022-11-11,0.964,Negative,Momentum Continuation,Momentum Continuation,Short,2022-11-14,0.97374475,2022-12-01,0.9644087,13,0.9587783990500912,0.0073142564441870525,99.37
10,2023-01-06,0.9376,Negative,Momentum Continuation,Momentum Continuation,Short,2023-01-09,0.9434881,2023-01-10,0.9430981,1,0.04133525182474005,0.02081856271885648,97.8
11,2023-02-01,0.9079,Negative,Mean Reversion,Momentum Continuation,Short,2023-02-02,0.916527,2023-02-23,0.9148626,15,0.18159859439930529,0.019048733997322747,98.1
12,2023-03-07,0.9478,Positive,Mean Reversion,Momentum Continuation,Long,2023-03-13,0.94032973,2023-03-22,0.94550467,7,0.5503319416725855,0.013486486602863657,98.8
13,2023-03-15,0.94499,Positive,Mean Reversion,Momentum Continuation,Long,2023-03-23,0.9292591,2023-04-03,2.3524323,7,153.15138225294174,0.44661604582177433,75.64
14,2023-03-17,0.9299,Negative,Momentum Continuation,Momentum Continuation,Short,2023-03-22,0.93725604,2023-03-24,0.9306942,2,0.7001091986942454,0.0133694499649448,98.67
15,2023-04-17,0.91533,Positive,Mean Reversion,Momentum Continuation,Long,2023-04-26,0.90045834,2023-05-09,92.570435,9,10180.368333370401,24.63437194760528,-999.06
16,2023-05-01,0.91164,Positive,Momentum Continuation,Momentum Continuation,Long,2023-05-22,0.8313608,2023-05-23,1.0540742,1,26.78901226849595,0.056839705712594314,94.98
17,2023-05-05,0.8919,Negative,Mean Reversion,Momentum Continuation,Short,2023-05-08,0.90015286,2023-05-26,0.8991476,14,0.11167351418770116,0.023508007133894643,97.6
18,2023-05-08,0.9092,Positive,Momentum Continuation,Momentum Continuation,Long,2023-05-09,0.8904811,2023-05-10,0.9092385,1,2.1064346670375778,0.02698348136171878,97.34
19,2023-11-14,0.91925,Negative,Mean Reversion,Momentum Continuation,Short,2023-11-15,0.927371,2023-12-06,0.92485815,15,0.2709672990758099,0.009585930435398182,99.06
